date,country,inflation
2015-01,DE,-0.5
2015-02,DE,-0.2
2015-03,DE,0.3
2015-04,DE,1.0
2015-05,DE,1.6
2015-06,DE,1.1
2015-07,DE,1.3
2015-08,DE,1.1
2015-09,DE,0.8
2015-10,DE,1.2
2015-11,DE,0.2
2015-12,DE,0.2
2016-01,DE,0.4
2016-02,DE,-0.1
2016-03,DE,0.1
2016-04,DE,-0.3
2016-05,DE,-0.1
2016-06,DE,0.1
2016-07,DE,0.3
2016-08,DE,0.3
2016-09,DE,0.6
2016-10,DE,0.7
2016-11,DE,0.8
2016-12,DE,1.6
2017-01,DE,1.7
2017-02,DE,2.1
2017-03,DE,1.5
2017-04,DE,2.0
2017-05,DE,1.3
2017-06,DE,1.7
2017-07,DE,1.7
2017-08,DE,1.9
2017-09,DE,1.9
2017-10,DE,1.5
2017-11,DE,1.7
2017-12,DE,1.5
2018-01,DE,1.5
2018-02,DE,1.2
2018-03,DE,1.7
2018-04,DE,1.3
2018-05,DE,2.5
2018-06,DE,2.1
2018-07,DE,2.2
2018-08,DE,2.1
2018-09,DE,2.2
2018-10,DE,2.6
2018-11,DE,2.2
2018-12,DE,1.7
2019-01,DE,1.7
2019-02,DE,1.7
2019-03,DE,1.4
2019-04,DE,2.1
2019-05,DE,1.3
2019-06,DE,1.5
2019-07,DE,1.1
2019-08,DE,1.0
2019-09,DE,0.9
2019-10,DE,0.9
2019-11,DE,1.2
2019-12,DE,1.5
2020-01,DE,1.6
2020-02,DE,1.7
2020-03,DE,1.3
2020-04,DE,0.8
2020-05,DE,0.5
2020-06,DE,0.8
2020-07,DE,0.0
2020-08,DE,-0.1
2020-09,DE,-0.4
2020-10,DE,-0.5
2020-11,DE,-0.7
2020-12,DE,-0.7
2021-01,DE,1.6
2021-02,DE,1.6
2021-03,DE,2.0
2021-04,DE,2.1
2021-05,DE,2.4
2021-06,DE,2.1
2021-07,DE,3.1
2021-08,DE,3.4
2021-09,DE,4.1
2021-10,DE,4.6
2021-11,DE,6.0
2021-12,DE,5.7
2022-01,DE,5.1
2022-02,DE,5.5
2022-03,DE,7.6
2022-04,DE,7.8
2022-05,DE,8.7
2022-06,DE,8.2
2022-07,DE,8.5
2022-08,DE,8.8
2022-09,DE,10.9
2022-10,DE,11.6
2022-11,DE,11.3
2022-12,DE,9.6
2023-01,DE,9.2
2023-02,DE,9.3
2023-03,DE,7.8
2023-04,DE,7.6
2023-05,DE,6.3
2023-06,DE,6.8
2023-07,DE,6.5
2023-08,DE,6.4
2023-09,DE,4.3
2023-10,DE,3.0
2023-11,DE,2.3
2023-12,DE,3.8
2015-01,ES,-1.5
2015-02,ES,-1.2
2015-03,ES,-0.8
2015-04,ES,-0.7
2015-05,ES,-0.3
2015-06,ES,0.0
2015-07,ES,0.0
2015-08,ES,-0.5
2015-09,ES,-1.1
2015-10,ES,-0.9
2015-11,ES,-0.4
2015-12,ES,-0.1
2016-01,ES,-0.4
2016-02,ES,-1.0
2016-03,ES,-1.0
2016-04,ES,-1.2
2016-05,ES,-1.1
2016-06,ES,-0.9
2016-07,ES,-0.7
2016-08,ES,-0.3
2016-09,ES,0.0
2016-10,ES,0.5
2016-11,ES,0.5
2016-12,ES,1.4
2017-01,ES,2.9
2017-02,ES,3.0
2017-03,ES,2.1
2017-04,ES,2.6
2017-05,ES,2.0
2017-06,ES,1.6
2017-07,ES,1.7
2017-08,ES,2.0
2017-09,ES,1.8
2017-10,ES,1.7
2017-11,ES,1.8
2017-12,ES,1.2
2018-01,ES,0.7
2018-02,ES,1.2
2018-03,ES,1.3
2018-04,ES,1.1
2018-05,ES,2.1
2018-06,ES,2.3
2018-07,ES,2.3
2018-08,ES,2.2
2018-09,ES,2.3
2018-10,ES,2.3
2018-11,ES,1.7
2018-12,ES,1.2
2019-01,ES,1.0
2019-02,ES,1.1
2019-03,ES,1.3
2019-04,ES,1.6
2019-05,ES,0.9
2019-06,ES,0.6
2019-07,ES,0.6
2019-08,ES,0.4
2019-09,ES,0.2
2019-10,ES,0.2
2019-11,ES,0.5
2019-12,ES,0.8
2020-01,ES,1.1
2020-02,ES,0.9
2020-03,ES,0.1
2020-04,ES,-0.7
2020-05,ES,-0.9
2020-06,ES,-0.3
2020-07,ES,-0.7
2020-08,ES,-0.6
2020-09,ES,-0.6
2020-10,ES,-0.9
2020-11,ES,-0.8
2020-12,ES,-0.6
2021-01,ES,0.4
2021-02,ES,-0.1
2021-03,ES,1.2
2021-04,ES,2.0
2021-05,ES,2.4
2021-06,ES,2.5
2021-07,ES,2.9
2021-08,ES,3.3
2021-09,ES,4.0
2021-10,ES,5.4
2021-11,ES,5.5
2021-12,ES,6.6
2022-01,ES,6.2
2022-02,ES,7.6
2022-03,ES,9.8
2022-04,ES,8.3
2022-05,ES,8.5
2022-06,ES,10.0
2022-07,ES,10.7
2022-08,ES,10.5
2022-09,ES,9.0
2022-10,ES,7.3
2022-11,ES,6.7
2022-12,ES,5.5
2023-01,ES,5.9
2023-02,ES,6.0
2023-03,ES,3.1
2023-04,ES,3.8
2023-05,ES,2.9
2023-06,ES,1.6
2023-07,ES,2.1
2023-08,ES,2.4
2023-09,ES,3.3
2023-10,ES,3.5
2023-11,ES,3.3
2023-12,ES,3.3
2015-01,FR,-0.4
2015-02,FR,-0.3
2015-03,FR,0.0
2015-04,FR,0.1
2015-05,FR,0.3
2015-06,FR,0.3
2015-07,FR,0.2
2015-08,FR,0.1
2015-09,FR,0.1
2015-10,FR,0.2
2015-11,FR,0.1
2015-12,FR,0.3
2016-01,FR,0.3
2016-02,FR,-0.1
2016-03,FR,-0.1
2016-04,FR,-0.1
2016-05,FR,0.1
2016-06,FR,0.3
2016-07,FR,0.4
2016-08,FR,0.4
2016-09,FR,0.5
2016-10,FR,0.5
2016-11,FR,0.7
2016-12,FR,0.8
2017-01,FR,1.6
2017-02,FR,1.4
2017-03,FR,1.4
2017-04,FR,1.4
2017-05,FR,0.9
2017-06,FR,0.8
2017-07,FR,0.8
2017-08,FR,1.0
2017-09,FR,1.1
2017-10,FR,1.2
2017-11,FR,1.2
2017-12,FR,1.2
2018-01,FR,1.5
2018-02,FR,1.3
2018-03,FR,1.7
2018-04,FR,1.8
2018-05,FR,2.3
2018-06,FR,2.3
2018-07,FR,2.6
2018-08,FR,2.6
2018-09,FR,2.5
2018-10,FR,2.5
2018-11,FR,2.2
2018-12,FR,1.9
2019-01,FR,1.4
2019-02,FR,1.6
2019-03,FR,1.3
2019-04,FR,1.5
2019-05,FR,1.1
2019-06,FR,1.4
2019-07,FR,1.3
2019-08,FR,1.3
2019-09,FR,1.1
2019-10,FR,0.9
2019-11,FR,1.2
2019-12,FR,1.6
2020-01,FR,1.7
2020-02,FR,1.6
2020-03,FR,0.8
2020-04,FR,0.4
2020-05,FR,0.4
2020-06,FR,0.2
2020-07,FR,0.9
2020-08,FR,0.2
2020-09,FR,0.0
2020-10,FR,0.1
2020-11,FR,0.2
2020-12,FR,0.0
2021-01,FR,0.8
2021-02,FR,0.8
2021-03,FR,1.4
2021-04,FR,1.6
2021-05,FR,1.8
2021-06,FR,1.9
2021-07,FR,1.5
2021-08,FR,2.4
2021-09,FR,2.7
2021-10,FR,3.2
2021-11,FR,3.4
2021-12,FR,3.4
2022-01,FR,3.3
2022-02,FR,4.2
2022-03,FR,5.1
2022-04,FR,5.4
2022-05,FR,5.8
2022-06,FR,6.5
2022-07,FR,6.8
2022-08,FR,6.6
2022-09,FR,6.2
2022-10,FR,7.1
2022-11,FR,7.1
2022-12,FR,6.7
2023-01,FR,7.0
2023-02,FR,7.3
2023-03,FR,6.7
2023-04,FR,6.9
2023-05,FR,6.0
2023-06,FR,5.3
2023-07,FR,5.1
2023-08,FR,5.7
2023-09,FR,5.7
2023-10,FR,4.5
2023-11,FR,3.9
2023-12,FR,4.1
2015-01,IT,-0.5
2015-02,IT,0.1
2015-03,IT,0.0
2015-04,IT,-0.1
2015-05,IT,0.2
2015-06,IT,0.2
2015-07,IT,0.4
2015-08,IT,0.3
2015-09,IT,0.2
2015-10,IT,0.3
2015-11,IT,0.1
2015-12,IT,0.1
2016-01,IT,0.4
2016-02,IT,-0.2
2016-03,IT,-0.2
2016-04,IT,-0.4
2016-05,IT,-0.3
2016-06,IT,-0.2
2016-07,IT,-0.2
2016-08,IT,-0.1
2016-09,IT,0.1
2016-10,IT,-0.1
2016-11,IT,0.1
2016-12,IT,0.5
2017-01,IT,1.0
2017-02,IT,1.6
2017-03,IT,1.4
2017-04,IT,2.0
2017-05,IT,1.6
2017-06,IT,1.2
2017-07,IT,1.2
2017-08,IT,1.4
2017-09,IT,1.3
2017-10,IT,1.1
2017-11,IT,1.1
2017-12,IT,1.0
2018-01,IT,1.2
2018-02,IT,0.5
2018-03,IT,0.9
2018-04,IT,0.6
2018-05,IT,1.0
2018-06,IT,1.4
2018-07,IT,1.9
2018-08,IT,1.6
2018-09,IT,1.5
2018-10,IT,1.7
2018-11,IT,1.6
2018-12,IT,1.2
2019-01,IT,0.9
2019-02,IT,1.1
2019-03,IT,1.1
2019-04,IT,1.1
2019-05,IT,0.9
2019-06,IT,0.8
2019-07,IT,0.3
2019-08,IT,0.5
2019-09,IT,0.2
2019-10,IT,0.2
2019-11,IT,0.2
2019-12,IT,0.5
2020-01,IT,0.4
2020-02,IT,0.2
2020-03,IT,0.1
2020-04,IT,0.1
2020-05,IT,-0.3
2020-06,IT,-0.4
2020-07,IT,0.8
2020-08,IT,-0.5
2020-09,IT,-1.0
2020-10,IT,-0.6
2020-11,IT,-0.3
2020-12,IT,-0.3
2021-01,IT,0.7
2021-02,IT,1.0
2021-03,IT,0.6
2021-04,IT,1.0
2021-05,IT,1.2
2021-06,IT,1.3
2021-07,IT,1.0
2021-08,IT,2.5
2021-09,IT,2.9
2021-10,IT,3.2
2021-11,IT,3.9
2021-12,IT,4.2
2022-01,IT,5.1
2022-02,IT,6.2
2022-03,IT,6.8
2022-04,IT,6.3
2022-05,IT,7.3
2022-06,IT,8.5
2022-07,IT,8.4
2022-08,IT,9.1
2022-09,IT,9.4
2022-10,IT,12.6
2022-11,IT,12.6
2022-12,IT,12.3
2023-01,IT,10.7
2023-02,IT,9.8
2023-03,IT,8.1
2023-04,IT,8.6
2023-05,IT,8.0
2023-06,IT,6.7
2023-07,IT,6.3
2023-08,IT,5.5
2023-09,IT,5.6
2023-10,IT,1.8
2023-11,IT,0.6
2023-12,IT,0.5
